recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.92-1
rpcbind 0.2.1-5
rsync 3.1.1-2
rtkit 0.11-4
rtmpdump 20140918-2
ruby 2.1.5-1
rxvt-unicode 9.21-1
rxvt-unicode-terminfo 9.21-1
s-nail 14.7.10-1
sbc 1.3-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-3
serf 1.3.7-1
sg3_utils 1.40-1
shadow 4.2.1-1
shared-mime-info 1.3-1
sk1libs 0.9.2-2
slang 2.2.4-3
smbclient 4.1.14-2
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
spacefm 0.9.4-3
speech-dispatcher 0.8.1-1
speex 1.2rc1-4
sqlite 3.8.7.4-1
sshfs 2.5-1
startup-notification 0.12-4
subversion 1.8.11-1
sudo 1.8.11.p2-1
sysfsutils 2.1.0-9
syslinux 6.03-2
systemd 218-1
systemd-sysvcompat 218-1
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.1-1
tar 1.28-1
tcl 8.6.3-1
tdb 1.3.2-1
tevent 0.9.22-1
texinfo 5.2-3
texlive-bin 2014.34260-4
texlive-core 2014.34872-1
thin-provisioning-tools 0.4.1-1
tint2-svn 652-5
tk 8.6.3-1
tmux 1.9_a-1
ttf-brill 2.06-1
ttf-courier-prime-ib 1.203-5
ttf-dejavu-ib 2.34-12
ttf-envy-code-r preview7-6
ttf-heuristica-ib 1.0.2-2
ttf-liberation-ib 2.00.1-11
ttf-noto-sans-ib 2014.12-1
ttf-noto-serif-ib 2014.12-1
ttf-symbola-ib 7.19-1
tzdata 2014j-1
udevil 0.4.3-1
udisks 1.0.5-1
uniconvertor 1.1.5-7
unixodbc 2.3.2-1
unrar 1:5.2.2-1
unzip 6.0-7
usbutils 008-1
util-linux 2.25.2-1
v4l-utils 1.6.0-1
vi 1:050325-4
videoproto 2.3.2-1
viking 1.5.1-2
vim-runtime 7.4.537-1
vlc 2.1.5-5
vundle-git 0.9.1.117.g0b28e33-1
wavpack 4.70.0-2
wayland 1.6.0-1
webkitgtk2 2.4.7-1
webrtc-audio-processing 0.1-2
wget 1.16.1-1
which 2.20-7
wireless_tools 30.pre9-1
wireshark-cli 1.12.2-1
wireshark-gtk 1.12.2-1
wpa_actiond 1.4-2
wpa_supplicant 2.3-1
wxgtk2.8 2.8.12.1-2
x11-ssh-askpass 1.2.4.1-4
x265 1.4-1
xbitmaps 1.1.1-3
xcb-proto 1.11-1
xcb-util 0.4.0-1
xcb-util-keysyms 0.4.0-1
xdg-utils 1.1.0.git20141009-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.1-1
xf86-input-synaptics 1.8.1-1
xf86-video-intel 2.99.917-1
xf86dgaproto 2.1-3
